,artist_id,name,artist_url
98,1125-julie-doiron,Julie Doiron,/artists/1125-julie-doiron/
99,26636-mount-eerie-with-julie-doiron-and-fred-squire,Fred Squire,/artists/26636-mount-eerie-with-julie-doiron-and-fred-squire/
100,2031-the-howling-hex,The Howling Hex,/artists/2031-the-howling-hex/
101,4964-klaxons,Klaxons,/artists/4964-klaxons/
102,2035-micah-p-hinson,Micah P. Hinson,/artists/2035-micah-p-hinson/
103,3108-marissa-nadler,Marissa Nadler,/artists/3108-marissa-nadler/
104,osie-lowe,Rosie Lowe,/artists/rosie-lowe/
105,1107-dj-jester,DJ Jester,/artists/1107-dj-jester/
106,1183-drive-by-truckers,Drive-By Truckers,/artists/1183-drive-by-truckers/
107,maya-hawke,Maya Hawke,/artists/maya-hawke/
108,806-common,Common,/artists/806-common/
109,kipp-stone,Kipp Stone,/artists/kipp-stone/
110,31352-tree,Tree,/artists/31352-tree/
111,4611-wire,Wire,/artists/4611-wire/
112,91-and-you-will-know-us-by-the-trail-of-dead,...And You Will Know Us by the Trail of Dead,/artists/91-and-you-will-know-us-by-the-trail-of-dead/
113,3414-pulp,Pulp,/artists/3414-pulp/
114,1413-the-evens,The Evens,/artists/1413-the-evens/
115,279-badly-drawn-boy,Badly Drawn Boy,/artists/279-badly-drawn-boy/
116,28187-oneohtrix-point-never,Oneohtrix Point Never,/artists/28187-oneohtrix-point-never/
117,5541-a-mountain-of-one,A Mountain of One,/artists/5541-a-mountain-of-one/
118,james-mcmurtry,James McMurtry,/artists/james-mcmurtry/
119,27646-diamond-watch-wrists,Diamond Watch Wrists,/artists/27646-diamond-watch-wrists/
120,1022-greg-davis,Greg Davis,/artists/1022-greg-davis/
121,32026-hands,Hands,/artists/32026-hands/
122,3961-the-strokes,The Strokes,/artists/3961-the-strokes/
123,5046-frightened-rabbit,Frightened Rabbit,/artists/5046-frightened-rabbit/
124,28722-foxes-in-fiction,Foxes in Fiction,/artists/28722-foxes-in-fiction/
125,6823-dm-stith,DM Stith,/artists/6823-dm-stith/
126,27939-soulsavers,Soulsavers,/artists/27939-soulsavers/
127,19359-eat-skull,Eat Skull,/artists/19359-eat-skull/
128,31101-sam-smith,Sam Smith,/artists/31101-sam-smith/
129,28963-allo-darlin,Allo Darlin',/artists/28963-allo-darlin/
130,5395-hawkwind,Hawkwind,/artists/5395-hawkwind/
131,32585-luh,Lost Under Heaven,/artists/32585-luh/
132,30888-larry-gus,Larry Gus,/artists/30888-larry-gus/
133,3681-sahara-hotnights,Sahara Hotnights,/artists/3681-sahara-hotnights/
134,5343-jason-isbell,Jason Isbell,/artists/5343-jason-isbell/
135,381-frank-black,Frank Black,/artists/381-frank-black/
136,73-oren-ambarchi,Oren Ambarchi,/artists/73-oren-ambarchi/
137,34139-superficie,Superfície,/artists/34139-superficie/
138,3497-quasi,Quasi,/artists/3497-quasi/
139,104-anti-pop-consortium,Anti-Pop Consortium,/artists/104-anti-pop-consortium/
140,3887-soundtrack-of-our-lives,Soundtrack of Our Lives,/artists/3887-soundtrack-of-our-lives/
141,2003-hella,Hella,/artists/2003-hella/
142,4808-towers-of-london,Towers of London,/artists/4808-towers-of-london/
143,2546-low,Low,/artists/2546-low/
144,4880-rick-ross,Rick Ross,/artists/4880-rick-ross/
145,31521-honey-ltd,Honey Ltd.,/artists/31521-honey-ltd/
146,34201-sneaks,Sneaks,/artists/34201-sneaks/
147,30498-father-yod-and-the-source-family,Father Yod and the Source Family,/artists/30498-father-yod-and-the-source-family/
148,1223-death-comet-crew,Death Comet Crew,/artists/1223-death-comet-crew/
149,3611-royksopp,Röyksopp,/artists/3611-royksopp/
150,3541-the-red-krayola,The Red Krayola,/artists/3541-the-red-krayola/
151,32834-sam-cohen,Sam Cohen,/artists/32834-sam-cohen/
152,980-matmos,Matmos,/artists/980-matmos/
153,ducks-unlimited,Ducks Unlimited,/artists/ducks-unlimited/
154,8316-stevie-wonder,Stevie Wonder,/artists/8316-stevie-wonder/
155,34311-ahmad-jamal,Ahmad Jamal,/artists/34311-ahmad-jamal/
156,3120-nicolay,Nicolay,/artists/3120-nicolay/
157,pek-gorgun,Ipek Gorgun,/artists/ipek-gorgun/
158,27648-omar-s,Omar S,/artists/27648-omar-s/
159,5013-robert-lippok,Robert Lippok,/artists/5013-robert-lippok/
160,1356-roky-erickson,Roky Erickson,/artists/1356-roky-erickson/
161,5344-nick-lowe,Nick Lowe,/artists/5344-nick-lowe/
162,5771-al-green,Al Green,/artists/5771-al-green/
163,3043-nine-inch-nails,Nine Inch Nails,/artists/3043-nine-inch-nails/
164,2358-khanate,Khanate,/artists/2358-khanate/
165,32650-sd,SD,/artists/32650-sd/
166,brian-fresco,Brian Fresco,/artists/brian-fresco/
167,438-david-bowie,David Bowie,/artists/438-david-bowie/
168,34134-code-orange,Code Orange,/artists/34134-code-orange/
169,5948-the-feelies,The Feelies,/artists/5948-the-feelies/
170,3305-phoenix,Phoenix,/artists/3305-phoenix/
171,324-belle-and-sebastian,Belle and Sebastian,/artists/324-belle-and-sebastian/
172,67-aluminium-group,Aluminium Group,/artists/67-aluminium-group/
173,3436-the-ponys,The Ponys,/artists/3436-the-ponys/
