,review_url,artist_id
90,/reviews/albums/19968-run-the-jewels-run-the-jewels-2/,31319-run-the-jewels
91,/reviews/albums/20149-joey/,32698-tica-douglas
92,/reviews/albums/16857-liquid-swords-chess-box-deluxe-edition/,1812-gza
93,/reviews/albums/16793-music-for-the-quiet-hour-the-drawbar-eps/,8811-shackleton
94,/reviews/albums/17954-chk-chk-chk-thriller/,916-chk-chk-chk
95,/reviews/albums/6692-out-of-the-races-and-onto-the-tracks-ep/,3529-the-rapture
96,/reviews/albums/3390-return-the-gift/,1677-gang-of-four
97,/reviews/albums/lapalux-ruinism/,30171-lapalux
98,/reviews/albums/18483-fort-romeau-stay-true-ep/,30178-fort-romeau
99,/reviews/albums/1337-pocket-symphonies-for-lonesome-subway-cars/,698-casiotone-for-the-painfully-alone
100,/reviews/albums/12292-lost-wisdom/,2919-mount-eerie
101,/reviews/albums/12292-lost-wisdom/,1125-julie-doiron
102,/reviews/albums/12292-lost-wisdom/,26636-mount-eerie-with-julie-doiron-and-fred-squire
103,/reviews/albums/4002-1-2-3/,2031-the-howling-hex
104,/reviews/albums/14597-surfing-the-void/,4964-klaxons
105,/reviews/albums/9570-micah-p-hinson-and-the-opera-circuit/,2035-micah-p-hinson
106,/reviews/albums/18941-marissa-nadler-july/,3108-marissa-nadler
107,/reviews/albums/rosie-lowe-yu/,osie-lowe
108,/reviews/albums/2362-river-walk-riots/,1107-dj-jester
109,/reviews/albums/13993-the-big-to-do/,1183-drive-by-truckers
110,/reviews/albums/maya-hawke-blush/,maya-hawke
111,/reviews/albums/14379-go-common-classics/,806-common
112,/reviews/albums/kipp-stone-faygo-baby-ep/,kipp-stone
113,/reviews/albums/20337-trap-genius/,31352-tree
114,/reviews/albums/14950-red-barked-tree/,4611-wire
115,/reviews/albums/182-worlds-apart/,91-and-you-will-know-us-by-the-trail-of-dead
116,/reviews/albums/22054-different-class/,3414-pulp
117,/reviews/albums/2917-the-evens/,1413-the-evens
118,/reviews/albums/14884-its-what-im-thinking-part-one-photographing-snowflakes/,279-badly-drawn-boy
119,/reviews/albums/21108-garden-of-delete/,28187-oneohtrix-point-never
120,/reviews/albums/10915-collected-works/,5541-a-mountain-of-one
121,/reviews/albums/james-mcmurtry-the-horses-and-the-hounds/,james-mcmurtry
122,/reviews/albums/13054-ice-capped-at-both-ends/,27646-diamond-watch-wrists
123,/reviews/albums/2189-curling-pond-woods/,1022-greg-davis
124,/reviews/albums/19030-hands-the-soul-is-quick/,32026-hands
125,/reviews/albums/17788-the-strokes-comedown-machine/,3961-the-strokes
126,/reviews/albums/9715-sing-the-greys/,5046-frightened-rabbit
127,/reviews/albums/19683-foxes-in-fiction-ontario-gothic/,28722-foxes-in-fiction
128,/reviews/albums/12814-heavy-ghost/,6823-dm-stith
129,/reviews/albums/13558-broken/,27939-soulsavers
130,/reviews/albums/13051-wild-and-inside/,19359-eat-skull
131,/reviews/albums/19450-sam-smith-in-the-lonely-hour/,31101-sam-smith
132,/reviews/albums/16502-europe/,28963-allo-darlin
133,/reviews/albums/10512-space-ritual-collectors-edition/,5395-hawkwind
134,/reviews/albums/21888-spiritual-songs-for-lovers-to-sing/,32585-luh
135,/reviews/albums/17472-silent-congas/,30888-larry-gus
136,/reviews/albums/6968-cmon-lets-pretend/,3681-sahara-hotnights
137,/reviews/albums/10398-sirens-of-the-ditch/,5343-jason-isbell
138,/reviews/albums/9130-fast-man-raider-man/,381-frank-black
139,/reviews/albums/151-triste/,73-oren-ambarchi
140,/reviews/albums/22747-helices-ep/,34139-superficie
141,/reviews/albums/6614-the-sword-of-god/,3497-quasi
142,/reviews/albums/209-tragic-epilogue/,104-anti-pop-consortium
143,/reviews/albums/7376-behind-the-music/,3887-soundtrack-of-our-lives
144,/reviews/albums/11758-concentration-facehomeboy/,2003-hella
145,/reviews/albums/9140-blood-sweat-towers/,4808-towers-of-london
146,/reviews/albums/17781-low-the-invisible-way/,2546-low
147,/reviews/albums/21344-black-market/,4880-rick-ross
148,/reviews/albums/18318-honey-ltd-the-complete-lhi-recordings/,31521-honey-ltd
149,/reviews/albums/sneaks-highway-hypnosis/,34201-sneaks
150,/reviews/albums/16820-the-thought-adjusters/,30498-father-yod-and-the-source-family
151,/reviews/albums/2569-this-is-riphop/,1223-death-comet-crew
152,/reviews/albums/19999-royksopp-the-inevitable-end/,3611-royksopp
153,/reviews/albums/22088-black-bubblegum/,5389-eric-copeland
154,/reviews/albums/12215-fingerpointing/,3541-the-red-krayola
155,/reviews/albums/20401-cool-it/,32834-sam-cohen
156,/reviews/albums/11492-supreme-balloon/,980-matmos
157,/reviews/albums/10315-si-para-usted-the-funky-beats-of-revolutionary-cuba-volume-one/,various-various-artists
158,/reviews/albums/ducks-unlimited-get-bleak-ep/,ducks-unlimited
159,/reviews/albums/22174-songs-in-the-key-of-life/,8316-stevie-wonder
160,/reviews/albums/23042-the-awakening/,34311-ahmad-jamal
161,/reviews/albums/5920-city-lights-volume-15/,3120-nicolay
162,/reviews/albums/ipek-gorgun-ecce-homo/,pek-gorgun
163,/reviews/albums/12824-fabric-45/,27648-omar-s
164,/reviews/albums/9629-robot/,5013-robert-lippok
165,/reviews/albums/roky-erickson-never-say-goodbye/,1356-roky-erickson
166,/reviews/albums/10399-at-my-age/,5344-nick-lowe
167,/reviews/albums/12927-lets-stay-together-im-still-in-love-with-you-greatest-hits/,5771-al-green
168,/reviews/albums/nine-inch-nails-ghosts-v-together-ghosts-vi-locusts/,3043-nine-inch-nails
169,/reviews/albums/13099-clean-hands-go-foul/,2358-khanate
170,/reviews/albums/sd-brian-fresco-muddbruddas/,32650-sd
171,/reviews/albums/sd-brian-fresco-muddbruddas/,brian-fresco
172,/reviews/albums/david-bowie-david-bowie-5-brilliant-adventure-1992-2001/,438-david-bowie
173,/reviews/albums/22717-forever/,34134-code-orange
174,/reviews/albums/22923-in-between/,5948-the-feelies
175,/reviews/albums/13576-wolfgang-amadeus-phoenix-remix-collection/,3305-phoenix
176,/reviews/albums/belle-and-sebastian-days-of-the-bagnold-summer-original-motion-picture-soundtrack/,324-belle-and-sebastian
177,/reviews/albums/139-pelo/,67-aluminium-group
178,/reviews/albums/14295-deathbed-4-ep/,3436-the-ponys
179,/reviews/albums/cookiee-kawaii-vanice/,cookiee-kawaii
180,/reviews/albums/2403-will-you-still-love-me-ep/,1125-julie-doiron
181,/reviews/albums/nothing-the-great-dismal/,31634-nothing
182,/reviews/albums/grateful-dead-workingmans-dead-the-angels-share/,5843-grateful-dead
183,/reviews/albums/mudhoney-digital-garbage/,2860-mudhoney
184,/reviews/albums/13034-relapse/,1339-eminem
185,/reviews/albums/9669-love/,546-the-beatles
186,/reviews/albums/19293-prins-thomas-prins-thomas-iii/,7602-prins-thomas
187,/reviews/albums/7986-the-no-music/,4203-themselves
188,/reviews/albums/13885-the-courage-of-others/,4827-midlake
189,/reviews/albums/4610-music-to-fall-asleep/,2398-klimek
190,/reviews/albums/15110-buy-the-ticket-take-the-ride/,29477-the-black-ryder
191,/reviews/albums/4678-here-comes-that-weird-chill/,2422-mark-lanegan
192,/reviews/albums/chynna-in-case-i-die-first/,chynna
193,/reviews/albums/mach-hommy-bulletproof-luh/,mach-hommy
194,/reviews/albums/tegan-and-sara-the-con-x-covers/,4371-tegan-and-sara
195,/reviews/albums/8359-edit-music-for-a-film-original-motion-picture-soundtrack-reconstruction/,4424-unklesounds
196,/reviews/albums/2657-all-harm-ends-here/,1286-early-day-miners
197,/reviews/albums/8758-secondary-protocol/,4632-wildchild
198,/reviews/albums/522-the-empire-strikes-first/,276-bad-religion
199,/reviews/albums/467-i-am-a-bird-now/,233-antony-and-the-johnsons
200,/reviews/albums/20061-furtherdeeper/,757-the-church
